feature,importance
recent_top3_rate,39106.011439323425
recent_avg_time_sec,23426.937069416046
days_since_last_race,20200.292414665222
style_closer,18161.117857933044
style_front,16594.381145954132
speed_index_avg_past,15793.406679153442
speed_index_max_past,14161.206010341644
passing_gain,10452.533590316772
distance,8676.797235965729
style_stalker,7705.476288318634
horse_weight_base,7020.803591251373
age,6822.624307632446
weight_carrier,5921.7370228767395
sex,1831.237952709198
course_type_encoded,1094.7395811080933
distance_band,916.3295993804932
track_direction_encoded,431.9219436645508
recent_avg_rank,308.7983932495117
track_condition_encoded,0.0
past_races_count,0.0
recent_best_rank,0.0
recent_win_rate,0.0
